Keyword,Frequency
Social Sciences - Other Topics,11
Google,10
Science & Technology,10
"Social Sciences, Interdisciplinary",8
Article,4
Media and Communications,4
Studies,3
"Computer Science, Software Engineering",3
Politics,3
Governance,3
Information Science & Library Science,3
Innovations,3
"Information Systems, Social aspects",3
Other Social Sciences,3
Political Science (excluding Public Administration Studies and Globalization Studies),3
Surveillance,3
Research methodology,2
Compilers,2
Programming Languages,2
Software Engineering/Programming and Operating Systems,2
Life Sciences & Biomedicine,2
Arts & Humanities,2
Collaboration,2
Information Studies,2
Library and Information Science,2
Technology Uses in Education,2
EU policy,2
Gender Studies,2
big tech,1
Materiality,1
monopolization,1
Operational definitions,1
technical system,1
Automated content analysis,1
Brands,1
Ethnography,1
Public relations agencies,1
Social media monitoring,1
Social research,1
communication studies,1
computer-mediated-communication,1
ICTs,1
Content management,1
Ethical standards,1
Holocaust,1
Human influences,1
Resistance,1
User satisfaction,1
archive,1
browsing,1
Digital archives,1
Flaneur,1
unheimlich,1
Wayback Machine,1
Academic work,1
Big Tech,1
Cultural Studies,1
cy pres,1
digital rights,1
Dominance,1
Perpetuation,1
philanthrocapitalism,1
Philanthropy,1
Settlements & damages,1
Tracking,1
Accuracy,1
Global positioning systems,1
GNSS,1
GPS,1
Matching,1
Navigation systems,1
Performance assessment,1
Satellite systems,1
Shadow Matching,1
Shadows,1
Smartphone,1
Three dimensional models,1
Urban Canyons,1
Urban environments,1
Emic and etic,1
Methodological problems,1
Research ethics,1
boundary work,1
data protection by design,1
Future,1
General Data Protection Regulation,1
History & Philosophy Of Science,1
Legitimation,1
New sites,1
privacy engineering,1
Rights,1
techno-regulatory imaginary,1
aggregation,1
Content analysis,1
facticity,1
Google News,1
Literature Reviews,1
New York Times Co,1
news coverage,1
news sourcing,1
Newspaper industry,1
sociology of professions,1
Access,1
Journalistic authority,1
New media,1
"Computer Science, Information Systems",1
Conclusiveness,1
Google ads advertising,1
Keywords,1
Search engine advertising,1
Sidedness,1
Disclosure,1
Technology application,1
administrative data,1
data audit,1
geocoding,1
Geographical coordinates,1
Research applications,1
Urban Studies,1
Co-Production,1
Constitutional Moments,1
Covid-19 Pandemic,1
Digital Contact Tracing (dct),1
Technological Governance,1
Technology Policy,1
Data,1
Data Governance Technologies,1
Data Strategy,1
Trusts,1
Balancing tests (Law),1
Employers,1
First Amendment-US,1
Government & Law,1
Labor law,1
"Laws, regulations and rules",1
Nazi groups,1
Wagner Act 1935-US,1
Workplace diversity,1
Critical data studies,1
data void,1
International Migration and Ethnic Relations,1
politics of exclusion,1
User generated content,1
Voids,1
agnotology,1
Climate change,1
environmental communication,1
Everyday life,1
Ignorance,1
Social Sciences Interdisciplinary,1
Depoliticization,1
Discourse,1
New technology,1
Political judgment,1
Centralization,1
Customization,1
infrastructure,1
knowledge graphs,1
alternative search engines,1
Counter-imaginaries,1
Developers,1
European values,1
Profit maximization,1
sociotechnical practices,1
Analysis,1
Collaborative Writing,1
English (Second Language),1
English as a second language,1
English Language Learners,1
Student Attitudes,1
Writing Skills,1
60 APPLIED LIFE SCIENCES,1
Complexity,1
Computer Appl. in Social and Behavioral Sciences,1
Data transmission,1
Data-driven Science,1
digital surveillance,1
disease surveillance,1
Mathematical Methods In Social Sciences,1
MATHEMATICS AND COMPUTING,1
"Mathematics, Interdisciplinary Applications",1
Modeling and Theory Building,1
novel data streams,1
Regular,1
Regular Article,1
"Social Sciences, Mathematical Methods",1
Code review,1
Code velocity,1
Developer productivity,1
Time-to-merge,1
Tooling,1
Velocity,1
Contingency,1
critical STS,1
Data links,1
deleterious consequences,1
sociotechnical affordance,1
surveillance capitalism,1
trusted user,1
Use statistics,1
collaboration,1
Collaborative and social computing,1
Collaborative and social computing systems and tools,1
"Collaborative and social computing theory, concepts and paradigms",1
Collaborative content creation,1
data rights,1
digital consumption objects,1
digital memories,1
Empirical studies in collaborative and social computing,1
Empirical studies in HCI,1
Human computer interaction (HCI),1
Human-centered computing,1
obsolescence,1
service closure,1
service design,1
service patinas,1
Social networking sites,1
Heterogeneity,1
Literature reviews,1
Multiple criterion,1
Systematic review,1
Business and Management,1
Business ethic,1
Business structures,1
China (People's Republic),1
Chinese culture,1
Commercial regulation,1
Conflict,1
general,1
"Google, Inc",1
"Hong Kong, China",1
Internet search engine,1
Quality of Life Research,1
Social responsibility,1
Digital natives,1
"Heidegger, Martin",1
History Of Social Sciences,1
"Pentland, Alex",1
Power,1
"Snowden, Edward Joseph",1
Social physics,1
Suicides & suicide attempts,1
Surveillance capitalism,1
search engine studies,1
Consumer research,1
Customer feedback,1
