Title,Vernicular title,Author,contributor,Is part of,Related titles,Publisher,Year Published,Upplaga,Format,Language,Subject,Keywords,Description,Identifier,Source,Bound with,Permalink
['Aestheticizing Google critique: A 20-year retrospective'],,"['Rogers, Richard']",['nan'],"Big data & society, 2018-04, Vol.5 (1), Article 2053951718768626",,"London, England: SAGE Publications",,,,English,['nan'],"['Deep web ', ' filter bubble ', ' Google ', ' information politics ', ' Internet censorship ', ' Licensing (technology) ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary']","['With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.']","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/2053951718768626']",SAGE: Journals Publish & Read 2024-2027: Bibsam,,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
['Aestheticizing Google critique: A 20-year retrospective'],,"['Rogers, Richard']",['nan'],"Big data & society, 2018-04, Vol.5 (1), Article 2053951718768626",,"London, England: SAGE Publications",,,,English,['nan'],"['Deep web ', ' filter bubble ', ' Google ', ' information politics ', ' Internet censorship ', ' Licensing (technology) ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary']","['With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.']","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/2053951718768626']", Scopus,,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
['Aestheticizing Google critique: A 20-year retrospective'],,"['Rogers, Richard']",['nan'],"Big data & society, 2018-04, Vol.5 (1), Article 2053951718768626",,"London, England: SAGE Publications",,,,English,['nan'],"['Deep web ', ' filter bubble ', ' Google ', ' information politics ', ' Internet censorship ', ' Licensing (technology) ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary']","['With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.']","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/2053951718768626']"," Social Sciences Citation Index<img src=""https://exlibris-pub.s3.amazonaws.com/fromwos-v2.jpg"" />",,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
['Aestheticizing Google critique: A 20-year retrospective'],,"['Rogers, Richard']",['nan'],"Big data & society, 2018-04, Vol.5 (1), Article 2053951718768626",,"London, England: SAGE Publications",,,,English,['nan'],"['Deep web ', ' filter bubble ', ' Google ', ' information politics ', ' Internet censorship ', ' Licensing (technology) ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary']","['With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.']","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/2053951718768626']", Access via ABI/INFORM (ProQuest),,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
['Aestheticizing Google critique: A 20-year retrospective'],,"['Rogers, Richard']",['nan'],"Big data & society, 2018-04, Vol.5 (1), Article 2053951718768626",,"London, England: SAGE Publications",,,,English,['nan'],"['Deep web ', ' filter bubble ', ' Google ', ' information politics ', ' Internet censorship ', ' Licensing (technology) ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary']","['With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.']","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/2053951718768626']", ProQuest One Business,,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
['Aestheticizing Google critique: A 20-year retrospective'],,"['Rogers, Richard']",['nan'],"Big data & society, 2018-04, Vol.5 (1), Article 2053951718768626",,"London, England: SAGE Publications",,,,English,['nan'],"['Deep web ', ' filter bubble ', ' Google ', ' information politics ', ' Internet censorship ', ' Licensing (technology) ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary']","['With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.']","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/2053951718768626']", Alma/SFX Local Collection,,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
['Aestheticizing Google critique: A 20-year retrospective'],,"['Rogers, Richard']",['nan'],"Big data & society, 2018-04, Vol.5 (1), Article 2053951718768626",,"London, England: SAGE Publications",,,,English,['nan'],"['Deep web ', ' filter bubble ', ' Google ', ' information politics ', ' Internet censorship ', ' Licensing (technology) ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary']","['With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.']","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/2053951718768626']", Sociological Abstracts,,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
['Aestheticizing Google critique: A 20-year retrospective'],,"['Rogers, Richard']",['nan'],"Big data & society, 2018-04, Vol.5 (1), Article 2053951718768626",,"London, England: SAGE Publications",,,,English,['nan'],"['Deep web ', ' filter bubble ', ' Google ', ' information politics ', ' Internet censorship ', ' Licensing (technology) ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary']","['With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.']","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/2053951718768626']"," Web of Science - Social Sciences Citation Index – 2018<img src=""https://exlibris-pub.s3.amazonaws.com/fromwos-v2.jpg"" />",,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
['Aestheticizing Google critique: A 20-year retrospective'],,"['Rogers, Richard']",['nan'],"Big data & society, 2018-04, Vol.5 (1), Article 2053951718768626",,"London, England: SAGE Publications",,,,English,['nan'],"['Deep web ', ' filter bubble ', ' Google ', ' information politics ', ' Internet censorship ', ' Licensing (technology) ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary']","['With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.']","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/2053951718768626']", ProQuest Central,,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
['Advancing search engine studies: The evolution of Google critique and intervention'],,"['Mager, Astrid ', ' Norocel, Ov Cristian ', ' Rogers, Richard']",['nan'],"Big data & society, 2023-07, Vol.10 (2), p.1, Article 20539517231191528",,"London, England: SAGE Publications",,,,English,"['Artists ', ' Internet ', ' Search engines ', ' Social sciences ', ' Technological innovations ', ' Technology']","['Annan samhällsvetenskap ', ' EU policy ', ' Gender Studies ', ' Generative artificial intelligence ', ' Genusstudier ', ' Google ', ' Information Systems, Social aspects ', ' Intervention ', ' Media and Communications ', ' Medie- och kommunikationsvetenskap ', ' Other Social Sciences ', ' Political Science (excluding Public Administration Studies and Globalization Studies) ', ' Samhällsvetenskap ', ' Search engine studies ', ' Social Sciences - Other Topics ', ' Social Sciences, Interdisciplinary ', ' Sociologi ', ' Sociologi (exklusive socialt arbete, socialpsykologi och socialantropologi) ', ' Sociology (excluding Social Work, Social Psychology and Social Anthropology) ', ' Statsvetenskap ', ' Statsvetenskap (exklusive studier av offentlig förvaltning och globaliseringsstudier) ', ' Systemvetenskap, informationssystem och informatik med samhällsvetenskaplig inriktning']","[""In this piece, which frames the special issue, “The State of Google Critique and Intervention,” we provide an overview of research focusing on Google as an object of critical study, fleshing out the European interventions that actively attempt to address its dominance. The article begins by mapping out key areas of articulating a Google critique, from the initial focus on ranking and profiling to the subsequent scrutiny of user exploitation and competitive imbalance. As such, it situates the contributions to this special issue concerning search engine bias and discrimination, the ethics of Google Autocomplete, Google's content moderation, the commodification of engine audiences and the political economy of technical systems in a broader history of Google criticism. It then proceeds to contextualize the European developments that put forward alternatives and draws attention to legislative efforts to curb the influence of big tech. We conclude by identifying a few avenues for continued critical study, such as Google's infrastructural bundling of generative artificial intelligence with existing products, to emphasize the importance of intervention in the future.""]","['ISSN: 2053-9517', ' EISSN: 2053-9517', ' DOI: 10.1177/20539517231191528']",SAGE: Journals Publish & Read 2024-2027: Bibsam,,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_scopus_primary_2_s2_0_85166532505
